3731508052	 0.000	-0.000	-0.000	-0.000	 0.000	 0.000	 0.000	-0.009	-0.000	 0.000
3731508053	-0.000	 0.000	-0.000	 0.000	 0.000	 0.000	 0.000	-0.001	 0.000	-0.000
3731508054	-0.000	-0.000	 0.000	-0.000	 0.000	-0.000	-0.000	 0.001	 0.000	-0.000
3731508055	-0.000	-0.000	-0.000	-0.000	-0.000	 0.000	-0.000	-0.004	 0.000	-0.000
3731508056	 0.000	 0.000	-0.000	 0.000	 0.000	 0.000	-0.000	 0.084	 0.000	-0.000
3731508057	 0.000	-0.000	-0.000	 0.000	 0.000	 0.000	 0.000	 0.097	 0.001	-0.000
3731508058	-0.000	 0.000	 0.000	 0.000	 0.000	 0.000	-0.000	 0.098	 0.000	-0.000
3731508059	 0.000	-0.000	 0.000	 0.000	 0.000	 0.000	-0.000	 0.100	 0.000	-0.000
3731508060	-0.000	-0.000	 0.000	 0.000	 0.000	 0.000	-0.000	 0.100	 0.000	-0.001
3731508061	 0.000	-0.000	 0.001	 0.000	 0.000	 0.000	-0.000	 0.098	 0.000	-0.001
3731508062	 0.000	-0.000	 0.000	 0.000	 0.000	-0.000	-0.000	 0.099	 0.000	-0.000
3731508063	 0.000	-0.000	 0.000	 0.000	 0.000	 0.000	-0.000	 0.103	 0.000	-0.001
3731508064	 0.000	-0.000	 0.000	 0.000	 0.000	-0.000	-0.001	 0.101	 0.000	-0.000
3731508065	-0.000	-0.000	-0.000	 0.000	 0.001	-0.000	-0.000	 0.100	 0.000	-0.000
3731508066	 0.000	-0.000	 0.000	 0.000	 0.000	-0.000	-0.000	 0.098	 0.000	 0.000
3731508067	 0.000	-0.000	 0.001	 0.000	 0.000	 0.000	 0.000	 0.106	 0.000	 0.000
3731508068	 0.000	-0.000	 0.001	 0.001	 0.000	 0.000	 0.000	 0.095	 0.000	 0.000
3731508069	 0.000	-0.000	 0.000	 0.000	 0.001	 0.000	-0.000	 0.097	 0.001	-0.000
3731508070	 0.000	-0.000	 0.000	 0.000	 0.000	-0.000	-0.000	 0.097	 0.000	 0.000
3731508071	 0.000	 0.000	 0.000	 0.000	 0.000	-0.000	-0.000	 0.103	-0.000	-0.000
3731508072	 0.000	 0.000	 0.000	-0.000	 0.000	 0.000	 0.000	 0.090	 0.000	 0.000
3731508073	 0.000	 0.000	-0.000	 0.000	 0.000	 0.000	-0.000	 0.090	 0.001	-0.001
3731508074	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	-0.000	 0.099	 0.000	-0.000
3731508075	 0.000	 0.000	-0.000	 0.001	 0.001	-0.000	 0.000	 0.088	 0.001	-0.000
3731508076	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.094	 0.000	-0.000
3731508077	 0.000	 0.000	 0.000	 0.000	 0.000	-0.000	 0.000	 0.098	 0.000	-0.000
3731508078	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.088	-0.000	-0.000
